"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",SpinalCord
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
SpinalCord        ,   5.0000e+8,   4.7279e-1,   3.4449e+1,   4.9340e-1,   9.9337e-2,   6.7774e-2,
SpinalCord        ,   5.3000e+8,   4.8040e-1,   3.4223e+1,   4.7609e-1,   9.4191e-2,   6.6362e-2,
SpinalCord        ,   5.6000e+8,   4.8795e-1,   3.4019e+1,   4.6042e-1,   8.9554e-2,   6.5037e-2,
SpinalCord        ,   5.9000e+8,   4.9547e-1,   3.3832e+1,   4.4619e-1,   8.5355e-2,   6.3785e-2,
SpinalCord        ,   6.2000e+8,   5.0296e-1,   3.3660e+1,   4.3322e-1,   8.1533e-2,   6.2597e-2,
SpinalCord        ,   6.5000e+8,   5.1044e-1,   3.3502e+1,   4.2135e-1,   7.8041e-2,   6.1466e-2,
SpinalCord        ,   6.8000e+8,   5.1792e-1,   3.3355e+1,   4.1046e-1,   7.4836e-2,   6.0385e-2,
SpinalCord        ,   7.1000e+8,   5.2542e-1,   3.3219e+1,   4.0044e-1,   7.1886e-2,   5.9347e-2,
SpinalCord        ,   7.4000e+8,   5.3294e-1,   3.3092e+1,   3.9121e-1,   6.9161e-2,   5.8350e-2,
SpinalCord        ,   7.7000e+8,   5.4049e-1,   3.2973e+1,   3.8267e-1,   6.6636e-2,   5.7389e-2,
SpinalCord        ,   8.0000e+8,   5.4807e-1,   3.2861e+1,   3.7476e-1,   6.4290e-2,   5.6460e-2,
SpinalCord        ,   8.3000e+8,   5.5570e-1,   3.2755e+1,   3.6742e-1,   6.2104e-2,   5.5562e-2,
SpinalCord        ,   8.6000e+8,   5.6338e-1,   3.2656e+1,   3.6060e-1,   6.0063e-2,   5.4690e-2,
SpinalCord        ,   8.9000e+8,   5.7110e-1,   3.2561e+1,   3.5425e-1,   5.8153e-2,   5.3844e-2,
SpinalCord        ,   9.2000e+8,   5.7889e-1,   3.2471e+1,   3.4833e-1,   5.6361e-2,   5.3021e-2,
SpinalCord        ,   9.5000e+8,   5.8674e-1,   3.2386e+1,   3.4280e-1,   5.4677e-2,   5.2220e-2,
SpinalCord        ,   9.8000e+8,   5.9465e-1,   3.2304e+1,   3.3764e-1,   5.3091e-2,   5.1440e-2,
SpinalCord        ,   1.0100e+9,   6.0263e-1,   3.2227e+1,   3.3281e-1,   5.1596e-2,   5.0678e-2,
SpinalCord        ,   1.0400e+9,   6.1069e-1,   3.2152e+1,   3.2829e-1,   5.0183e-2,   4.9935e-2,
SpinalCord        ,   1.0700e+9,   6.1881e-1,   3.2080e+1,   3.2405e-1,   4.8846e-2,   4.9209e-2,
SpinalCord        ,   1.1000e+9,   6.2701e-1,   3.2012e+1,   3.2008e-1,   4.7579e-2,   4.8498e-2,
SpinalCord        ,   1.1300e+9,   6.3529e-1,   3.1945e+1,   3.1635e-1,   4.6376e-2,   4.7804e-2,
SpinalCord        ,   1.1600e+9,   6.4365e-1,   3.1882e+1,   3.1285e-1,   4.5234e-2,   4.7124e-2,
SpinalCord        ,   1.1900e+9,   6.5209e-1,   3.1820e+1,   3.0956e-1,   4.4147e-2,   4.6458e-2,
SpinalCord        ,   1.2200e+9,   6.6061e-1,   3.1760e+1,   3.0646e-1,   4.3111e-2,   4.5805e-2,
SpinalCord        ,   1.2500e+9,   6.6922e-1,   3.1703e+1,   3.0356e-1,   4.2123e-2,   4.5166e-2,
