"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",SpinalCord
"Tissue","Frequency","Conductivity","Relative",
"name","[Hz]","[S/m]","permittivity",
SpinalCord        ,   5.0000e+8,   4.7279e-1,   3.4449e+1,
SpinalCord        ,   5.3000e+8,   4.8040e-1,   3.4223e+1,
SpinalCord        ,   5.6000e+8,   4.8795e-1,   3.4019e+1,
SpinalCord        ,   5.9000e+8,   4.9547e-1,   3.3832e+1,
SpinalCord        ,   6.2000e+8,   5.0296e-1,   3.3660e+1,
SpinalCord        ,   6.5000e+8,   5.1044e-1,   3.3502e+1,
SpinalCord        ,   6.8000e+8,   5.1792e-1,   3.3355e+1,
SpinalCord        ,   7.1000e+8,   5.2542e-1,   3.3219e+1,
SpinalCord        ,   7.4000e+8,   5.3294e-1,   3.3092e+1,
SpinalCord        ,   7.7000e+8,   5.4049e-1,   3.2973e+1,
SpinalCord        ,   8.0000e+8,   5.4807e-1,   3.2861e+1,
SpinalCord        ,   8.3000e+8,   5.5570e-1,   3.2755e+1,
SpinalCord        ,   8.6000e+8,   5.6338e-1,   3.2656e+1,
SpinalCord        ,   8.9000e+8,   5.7110e-1,   3.2561e+1,
SpinalCord        ,   9.2000e+8,   5.7889e-1,   3.2471e+1,
SpinalCord        ,   9.5000e+8,   5.8674e-1,   3.2386e+1,
SpinalCord        ,   9.8000e+8,   5.9465e-1,   3.2304e+1,
SpinalCord        ,   1.0100e+9,   6.0263e-1,   3.2227e+1,
SpinalCord        ,   1.0400e+9,   6.1069e-1,   3.2152e+1,
SpinalCord        ,   1.0700e+9,   6.1881e-1,   3.2080e+1,
SpinalCord        ,   1.1000e+9,   6.2701e-1,   3.2012e+1,
SpinalCord        ,   1.1300e+9,   6.3529e-1,   3.1945e+1,
SpinalCord        ,   1.1600e+9,   6.4365e-1,   3.1882e+1,
SpinalCord        ,   1.1900e+9,   6.5209e-1,   3.1820e+1,
SpinalCord        ,   1.2200e+9,   6.6061e-1,   3.1760e+1,
SpinalCord        ,   1.2500e+9,   6.6922e-1,   3.1703e+1,
SpinalCord        ,   1.2800e+9,   6.7791e-1,   3.1647e+1,
SpinalCord        ,   1.3100e+9,   6.8669e-1,   3.1593e+1,
SpinalCord        ,   1.3400e+9,   6.9555e-1,   3.1540e+1,
SpinalCord        ,   1.3700e+9,   7.0451e-1,   3.1488e+1,
SpinalCord        ,   1.4000e+9,   7.1355e-1,   3.1438e+1,
SpinalCord        ,   1.4300e+9,   7.2268e-1,   3.1390e+1,
SpinalCord        ,   1.4600e+9,   7.3191e-1,   3.1342e+1,
SpinalCord        ,   1.4900e+9,   7.4122e-1,   3.1296e+1,
SpinalCord        ,   1.5200e+9,   7.5063e-1,   3.1250e+1,
SpinalCord        ,   1.5500e+9,   7.6013e-1,   3.1206e+1,
SpinalCord        ,   1.5800e+9,   7.6972e-1,   3.1162e+1,
SpinalCord        ,   1.6100e+9,   7.7940e-1,   3.1120e+1,
SpinalCord        ,   1.6400e+9,   7.8918e-1,   3.1078e+1,
SpinalCord        ,   1.6700e+9,   7.9905e-1,   3.1037e+1,
SpinalCord        ,   1.7000e+9,   8.0901e-1,   3.0997e+1,
SpinalCord        ,   1.7300e+9,   8.1907e-1,   3.0957e+1,
SpinalCord        ,   1.7600e+9,   8.2922e-1,   3.0918e+1,
SpinalCord        ,   1.7900e+9,   8.3947e-1,   3.0880e+1,
SpinalCord        ,   1.8200e+9,   8.4981e-1,   3.0842e+1,
SpinalCord        ,   1.8500e+9,   8.6024e-1,   3.0805e+1,
SpinalCord        ,   1.8800e+9,   8.7077e-1,   3.0768e+1,
SpinalCord        ,   1.9100e+9,   8.8139e-1,   3.0732e+1,
SpinalCord        ,   1.9400e+9,   8.9211e-1,   3.0697e+1,
SpinalCord        ,   1.9700e+9,   9.0292e-1,   3.0661e+1,
SpinalCord        ,   2.0000e+9,   9.1383e-1,   3.0627e+1,
SpinalCord        ,   2.0300e+9,   9.2482e-1,   3.0592e+1,
SpinalCord        ,   2.0600e+9,   9.3592e-1,   3.0558e+1,
SpinalCord        ,   2.0900e+9,   9.4710e-1,   3.0525e+1,
SpinalCord        ,   2.1200e+9,   9.5838e-1,   3.0491e+1,
SpinalCord        ,   2.1500e+9,   9.6975e-1,   3.0459e+1,
SpinalCord        ,   2.1800e+9,   9.8122e-1,   3.0426e+1,
SpinalCord        ,   2.2100e+9,   9.9278e-1,   3.0394e+1,
SpinalCord        ,   2.2400e+9,   1.0044e+0,   3.0362e+1,
SpinalCord        ,   2.2700e+9,   1.0162e+0,   3.0330e+1,
SpinalCord        ,   2.3000e+9,   1.0280e+0,   3.0299e+1,
SpinalCord        ,   2.3300e+9,   1.0399e+0,   3.0268e+1,
SpinalCord        ,   2.3600e+9,   1.0520e+0,   3.0237e+1,
SpinalCord        ,   2.3900e+9,   1.0641e+0,   3.0206e+1,
SpinalCord        ,   2.4200e+9,   1.0763e+0,   3.0176e+1,
SpinalCord        ,   2.4500e+9,   1.0886e+0,   3.0145e+1,
SpinalCord        ,   2.4800e+9,   1.1009e+0,   3.0115e+1,
SpinalCord        ,   2.5100e+9,   1.1134e+0,   3.0086e+1,
SpinalCord        ,   2.5400e+9,   1.1260e+0,   3.0056e+1,
SpinalCord        ,   2.5700e+9,   1.1386e+0,   3.0026e+1,
SpinalCord        ,   2.6000e+9,   1.1514e+0,   2.9997e+1,
SpinalCord        ,   2.6300e+9,   1.1642e+0,   2.9968e+1,
SpinalCord        ,   2.6600e+9,   1.1771e+0,   2.9939e+1,
SpinalCord        ,   2.6900e+9,   1.1901e+0,   2.9910e+1,
SpinalCord        ,   2.7200e+9,   1.2032e+0,   2.9882e+1,
SpinalCord        ,   2.7500e+9,   1.2164e+0,   2.9853e+1,
SpinalCord        ,   2.7800e+9,   1.2297e+0,   2.9825e+1,
SpinalCord        ,   2.8100e+9,   1.2431e+0,   2.9797e+1,
SpinalCord        ,   2.8400e+9,   1.2565e+0,   2.9768e+1,
SpinalCord        ,   2.8700e+9,   1.2700e+0,   2.9740e+1,
