"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",BrainWhiteMatter
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
BrainWhiteMatter  ,   5.0000e+8,   4.7391e-1,   4.1004e+1,   4.1551e-1,   9.1753e-2,   7.3202e-2,
BrainWhiteMatter  ,   5.3000e+8,   4.8253e-1,   4.0754e+1,   4.0157e-1,   8.6934e-2,   7.1584e-2,
BrainWhiteMatter  ,   5.6000e+8,   4.9113e-1,   4.0528e+1,   3.8899e-1,   8.2599e-2,   7.0058e-2,
BrainWhiteMatter  ,   5.9000e+8,   4.9971e-1,   4.0321e+1,   3.7758e-1,   7.8677e-2,   6.8611e-2,
BrainWhiteMatter  ,   6.2000e+8,   5.0830e-1,   4.0132e+1,   3.6721e-1,   7.5112e-2,   6.7234e-2,
BrainWhiteMatter  ,   6.5000e+8,   5.1692e-1,   3.9958e+1,   3.5776e-1,   7.1857e-2,   6.5918e-2,
BrainWhiteMatter  ,   6.8000e+8,   5.2556e-1,   3.9796e+1,   3.4910e-1,   6.8874e-2,   6.4658e-2,
BrainWhiteMatter  ,   7.1000e+8,   5.3425e-1,   3.9646e+1,   3.4117e-1,   6.6131e-2,   6.3446e-2,
BrainWhiteMatter  ,   7.4000e+8,   5.4300e-1,   3.9506e+1,   3.3387e-1,   6.3598e-2,   6.2278e-2,
BrainWhiteMatter  ,   7.7000e+8,   5.5180e-1,   3.9375e+1,   3.2716e-1,   6.1254e-2,   6.1152e-2,
BrainWhiteMatter  ,   8.0000e+8,   5.6067e-1,   3.9251e+1,   3.2096e-1,   5.9077e-2,   6.0062e-2,
BrainWhiteMatter  ,   8.3000e+8,   5.6961e-1,   3.9135e+1,   3.1523e-1,   5.7050e-2,   5.9006e-2,
BrainWhiteMatter  ,   8.6000e+8,   5.7863e-1,   3.9024e+1,   3.0992e-1,   5.5159e-2,   5.7982e-2,
BrainWhiteMatter  ,   8.9000e+8,   5.8774e-1,   3.8920e+1,   3.0500e-1,   5.3390e-2,   5.6987e-2,
BrainWhiteMatter  ,   9.2000e+8,   5.9693e-1,   3.8821e+1,   3.0044e-1,   5.1732e-2,   5.6019e-2,
BrainWhiteMatter  ,   9.5000e+8,   6.0622e-1,   3.8726e+1,   2.9620e-1,   5.0175e-2,   5.5078e-2,
BrainWhiteMatter  ,   9.8000e+8,   6.1560e-1,   3.8635e+1,   2.9226e-1,   4.8709e-2,   5.4160e-2,
BrainWhiteMatter  ,   1.0100e+9,   6.2507e-1,   3.8549e+1,   2.8859e-1,   4.7327e-2,   5.3266e-2,
