freq_GHz,epsilon_r,sigma_S_m
5.000000e-01,4.162027e+01,6.363402e-01
5.671600e-01,4.130549e+01,6.511115e-01
6.343300e-01,4.104709e+01,6.663008e-01
7.014900e-01,4.082883e+01,6.819945e-01
7.686600e-01,4.064045e+01,6.982546e-01
8.358200e-01,4.047483e+01,7.151268e-01
9.029900e-01,4.032716e+01,7.326529e-01
9.701500e-01,4.019292e+01,7.508536e-01
1.037300e+00,4.006991e+01,7.697306e-01
1.104500e+00,3.995633e+01,7.893283e-01
1.171600e+00,3.984951e+01,8.096252e-01
1.238800e+00,3.974896e+01,8.306276e-01
1.306000e+00,3.965393e+01,8.523385e-01
1.373100e+00,3.956337e+01,8.748079e-01
1.440300e+00,3.947611e+01,8.979335e-01
1.507500e+00,3.939197e+01,9.218177e-01
1.574600e+00,3.931072e+01,9.464106e-01
1.641800e+00,3.923217e+01,9.717172e-01
1.709000e+00,3.915504e+01,9.977828e-01
1.776100e+00,3.907991e+01,1.024501e+00
1.843300e+00,3.900594e+01,1.051877e+00
1.910400e+00,3.893383e+01,1.080004e+00
1.977600e+00,3.886285e+01,1.108843e+00
2.044800e+00,3.879212e+01,1.138326e+00
2.111900e+00,3.872255e+01,1.168515e+00
2.179100e+00,3.865403e+01,1.199347e+00
2.246300e+00,3.858625e+01,1.230881e+00
2.313400e+00,3.851900e+01,1.263044e+00
2.380600e+00,3.845202e+01,1.295872e+00
2.447800e+00,3.838522e+01,1.329316e+00
2.514900e+00,3.831927e+01,1.363472e+00
2.582100e+00,3.825350e+01,1.398257e+00
2.649300e+00,3.818795e+01,1.433614e+00
2.716400e+00,3.812245e+01,1.469615e+00
2.783600e+00,3.805720e+01,1.506241e+00
2.850700e+00,3.799215e+01,1.543491e+00
2.917900e+00,3.792733e+01,1.581323e+00
2.985100e+00,3.786244e+01,1.619778e+00
3.052200e+00,3.779789e+01,1.658814e+00
3.119400e+00,3.773331e+01,1.698398e+00
3.186600e+00,3.766877e+01,1.738616e+00
3.253700e+00,3.760385e+01,1.779397e+00
3.320900e+00,3.753944e+01,1.820693e+00
3.388100e+00,3.747463e+01,1.862578e+00
3.455200e+00,3.741052e+01,1.904990e+00
3.522400e+00,3.734587e+01,1.947958e+00
3.589600e+00,3.728069e+01,1.991487e+00
3.656700e+00,3.721630e+01,2.035552e+00
3.723900e+00,3.715123e+01,2.080119e+00
3.791000e+00,3.708682e+01,2.125191e+00
3.858200e+00,3.702185e+01,2.170760e+00
3.925400e+00,3.695690e+01,2.216867e+00
3.992500e+00,3.689159e+01,2.263468e+00
4.059700e+00,3.682674e+01,2.310553e+00
4.126900e+00,3.676148e+01,2.358131e+00
4.194000e+00,3.669607e+01,2.406189e+00
4.261200e+00,3.663086e+01,2.454671e+00
4.328400e+00,3.656518e+01,2.503648e+00
4.395500e+00,3.649989e+01,2.553113e+00
4.462700e+00,3.643418e+01,2.602985e+00
4.529900e+00,3.636846e+01,2.653347e+00
4.597000e+00,3.630274e+01,2.704129e+00
4.664200e+00,3.623645e+01,2.755366e+00
4.731300e+00,3.617078e+01,2.806983e+00
4.798500e+00,3.610449e+01,2.859071e+00
4.865700e+00,3.603832e+01,2.911522e+00
4.932800e+00,3.597176e+01,2.964440e+00
5.000000e+00,3.590564e+01,3.017719e+00
5.067200e+00,3.583907e+01,3.071399e+00
5.134300e+00,3.577231e+01,3.125503e+00
5.201500e+00,3.570563e+01,3.179955e+00
5.268700e+00,3.563911e+01,3.234798e+00
5.335800e+00,3.557243e+01,3.290064e+00
5.403000e+00,3.550540e+01,3.345616e+00
5.470100e+00,3.543890e+01,3.401568e+00
5.537300e+00,3.537169e+01,3.457863e+00
5.604500e+00,3.530472e+01,3.514555e+00
5.671600e+00,3.523753e+01,3.571541e+00
5.738800e+00,3.517000e+01,3.628867e+00
5.806000e+00,3.510304e+01,3.686544e+00
5.873100e+00,3.503536e+01,3.744559e+00
5.940300e+00,3.496787e+01,3.802902e+00
6.007500e+00,3.490037e+01,3.861528e+00
6.074600e+00,3.483293e+01,3.920484e+00
6.141800e+00,3.476530e+01,3.979733e+00
6.209000e+00,3.469788e+01,4.039298e+00
6.276100e+00,3.462989e+01,4.099147e+00
6.343300e+00,3.456246e+01,4.159315e+00
6.410400e+00,3.449452e+01,4.219726e+00
6.477600e+00,3.442660e+01,4.280447e+00
6.544800e+00,3.435869e+01,4.341431e+00
6.611900e+00,3.429081e+01,4.402649e+00
6.679100e+00,3.422288e+01,4.464180e+00
6.746300e+00,3.415500e+01,4.525985e+00
6.813400e+00,3.408715e+01,4.588005e+00
6.880600e+00,3.401931e+01,4.650287e+00
6.947800e+00,3.395094e+01,4.712819e+00
7.014900e+00,3.388305e+01,4.775560e+00
7.082100e+00,3.381472e+01,4.838574e+00
7.149300e+00,3.374711e+01,4.901786e+00
7.216400e+00,3.367880e+01,4.965291e+00
7.283600e+00,3.361048e+01,5.028954e+00
7.350700e+00,3.354238e+01,5.092816e+00
7.417900e+00,3.347410e+01,5.156931e+00
7.485100e+00,3.340639e+01,5.221233e+00
7.552200e+00,3.333829e+01,5.285765e+00
7.619400e+00,3.327007e+01,5.350437e+00
7.686600e+00,3.320205e+01,5.415370e+00
7.753700e+00,3.313401e+01,5.480445e+00
7.820900e+00,3.306581e+01,5.545729e+00
7.888100e+00,3.299731e+01,5.611176e+00
7.955200e+00,3.292932e+01,5.676773e+00
8.022400e+00,3.286135e+01,5.742610e+00
8.089600e+00,3.279342e+01,5.808560e+00
8.156700e+00,3.272547e+01,5.874695e+00
8.223900e+00,3.265758e+01,5.941016e+00
8.291000e+00,3.258967e+01,6.007473e+00
8.358200e+00,3.252178e+01,6.074050e+00
8.425400e+00,3.245340e+01,6.140818e+00
8.492500e+00,3.238559e+01,6.207650e+00
8.559700e+00,3.231790e+01,6.274716e+00
8.626900e+00,3.225012e+01,6.341842e+00
8.694000e+00,3.218250e+01,6.409139e+00
8.761200e+00,3.211474e+01,6.476613e+00
8.828400e+00,3.204715e+01,6.544153e+00
8.895500e+00,3.197942e+01,6.611801e+00
8.962700e+00,3.191186e+01,6.679570e+00
9.029900e+00,3.184434e+01,6.747445e+00
9.097000e+00,3.177682e+01,6.815451e+00
9.164200e+00,3.170936e+01,6.883568e+00
9.231300e+00,3.164243e+01,6.951782e+00
9.298500e+00,3.157496e+01,7.020074e+00
9.365700e+00,3.150755e+01,7.088500e+00
9.432800e+00,3.144082e+01,7.156974e+00
9.500000e+00,3.137344e+01,7.225521e+00
9.567200e+00,3.130675e+01,7.294378e+00
9.634300e+00,3.123945e+01,7.362847e+00
9.701500e+00,3.117280e+01,7.431842e+00
9.768700e+00,3.110567e+01,7.500848e+00
9.835800e+00,3.103892e+01,7.569871e+00
9.903000e+00,3.097235e+01,7.638872e+00
9.970100e+00,3.090581e+01,7.707948e+00
1.003700e+01,3.083944e+01,7.776956e+00
1.010400e+01,3.077296e+01,7.845987e+00
1.017200e+01,3.070644e+01,7.915572e+00
1.023900e+01,3.064071e+01,7.984615e+00
1.030600e+01,3.057426e+01,8.054193e+00
1.037300e+01,3.050801e+01,8.123768e+00
1.044000e+01,3.044218e+01,8.192828e+00
1.050700e+01,3.037648e+01,8.262424e+00
1.057500e+01,3.031029e+01,8.331980e+00
1.064200e+01,3.024466e+01,8.401561e+00
1.070900e+01,3.017906e+01,8.471163e+00
1.077600e+01,3.011345e+01,8.540755e+00
1.084300e+01,3.004808e+01,8.610822e+00
1.091000e+01,2.998306e+01,8.680401e+00
1.097800e+01,2.991773e+01,8.749988e+00
1.104500e+01,2.985274e+01,8.820050e+00
1.111200e+01,2.978741e+01,8.889609e+00
1.117900e+01,2.972268e+01,8.959173e+00
1.124600e+01,2.965796e+01,9.029279e+00
1.131300e+01,2.959321e+01,9.098793e+00
1.138100e+01,2.952857e+01,9.168859e+00
1.144800e+01,2.946407e+01,9.238359e+00
1.151500e+01,2.939995e+01,9.308429e+00
1.158200e+01,2.933535e+01,9.378431e+00
1.164900e+01,2.927142e+01,9.447948e+00
1.171600e+01,2.920757e+01,9.517964e+00
1.178400e+01,2.914374e+01,9.587406e+00
1.185100e+01,2.907992e+01,9.657440e+00
1.191800e+01,2.901610e+01,9.727406e+00
1.198500e+01,2.895233e+01,9.796841e+00
1.205200e+01,2.888909e+01,9.866777e+00
1.211900e+01,2.882555e+01,9.936199e+00
1.218700e+01,2.876253e+01,1.000613e+01
1.225400e+01,2.869937e+01,1.007605e+01
1.232100e+01,2.863642e+01,1.014539e+01
1.238800e+01,2.857398e+01,1.021530e+01
1.245500e+01,2.851110e+01,1.028463e+01
1.252200e+01,2.844822e+01,1.035450e+01
1.259000e+01,2.838602e+01,1.042379e+01
1.265700e+01,2.832373e+01,1.049359e+01
1.272400e+01,2.826159e+01,1.056287e+01
1.279100e+01,2.819934e+01,1.063264e+01
1.285800e+01,2.813779e+01,1.070187e+01
1.292500e+01,2.807574e+01,1.077110e+01
1.299300e+01,2.801427e+01,1.084034e+01
1.306000e+01,2.795280e+01,1.091003e+01
1.312700e+01,2.789135e+01,1.097921e+01
1.319400e+01,2.783008e+01,1.104834e+01
1.326100e+01,2.776868e+01,1.111745e+01
1.332800e+01,2.770800e+01,1.118657e+01
1.339600e+01,2.764684e+01,1.125563e+01
1.346300e+01,2.758621e+01,1.132465e+01
1.353000e+01,2.752561e+01,1.139370e+01
1.359700e+01,2.746503e+01,1.146217e+01
1.366400e+01,2.740499e+01,1.153121e+01
1.373100e+01,2.734463e+01,1.160016e+01
1.379900e+01,2.728484e+01,1.166858e+01
1.386600e+01,2.722487e+01,1.173751e+01
1.393300e+01,2.716511e+01,1.180584e+01
1.400000e+01,2.710538e+01,1.187422e+01
