SINGLE TISSUE, FREQUENCY RANGE
TISSUE: BoneCortical

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
BoneCortical           5.0000e+8     1.0047e-1     1.2946e+1  
BoneCortical           5.6716e+8     1.0693e-1     1.2838e+1  
BoneCortical           6.3433e+8     1.1369e-1     1.2744e+1  
BoneCortical           7.0149e+8     1.2074e-1     1.2661e+1  
BoneCortical           7.6866e+8     1.2808e-1     1.2585e+1  
BoneCortical           8.3582e+8     1.3573e-1     1.2516e+1  
BoneCortical           9.0299e+8     1.4367e-1     1.2451e+1  
BoneCortical           9.7015e+8     1.5191e-1     1.2390e+1  
BoneCortical           1.0373e+9     1.6043e-1     1.2331e+1  
BoneCortical           1.1045e+9     1.6923e-1     1.2276e+1  
BoneCortical           1.1716e+9     1.7830e-1     1.2222e+1  
BoneCortical           1.2388e+9     1.8764e-1     1.2170e+1  
BoneCortical           1.3060e+9     1.9724e-1     1.2120e+1  
BoneCortical           1.3731e+9     2.0710e-1     1.2071e+1  
BoneCortical           1.4403e+9     2.1720e-1     1.2023e+1  
BoneCortical           1.5075e+9     2.2754e-1     1.1976e+1  
BoneCortical           1.5746e+9     2.3812e-1     1.1930e+1  
BoneCortical           1.6418e+9     2.4892e-1     1.1884e+1  
BoneCortical           1.7090e+9     2.5994e-1     1.1840e+1  
BoneCortical           1.7761e+9     2.7117e-1     1.1796e+1  
BoneCortical           1.8433e+9     2.8261e-1     1.1753e+1  
BoneCortical           1.9104e+9     2.9425e-1     1.1710e+1  
BoneCortical           1.9776e+9     3.0609e-1     1.1668e+1  
BoneCortical           2.0448e+9     3.1811e-1     1.1626e+1  
BoneCortical           2.1119e+9     3.3031e-1     1.1584e+1  
BoneCortical           2.1791e+9     3.4270e-1     1.1543e+1  
BoneCortical           2.2463e+9     3.5525e-1     1.1502e+1  
BoneCortical           2.3134e+9     3.6796e-1     1.1462e+1  
BoneCortical           2.3806e+9     3.8084e-1     1.1422e+1  
BoneCortical           2.4478e+9     3.9387e-1     1.1382e+1  
BoneCortical           2.5149e+9     4.0705e-1     1.1343e+1  
BoneCortical           2.5821e+9     4.2038e-1     1.1304e+1  
BoneCortical           2.6493e+9     4.3384e-1     1.1265e+1  
BoneCortical           2.7164e+9     4.4744e-1     1.1226e+1  
BoneCortical           2.7836e+9     4.6117e-1     1.1188e+1  
BoneCortical           2.8507e+9     4.7503e-1     1.1150e+1  
BoneCortical           2.9179e+9     4.8900e-1     1.1112e+1  
BoneCortical           2.9851e+9     5.0309e-1     1.1074e+1  
BoneCortical           3.0522e+9     5.1730e-1     1.1037e+1  
BoneCortical           3.1194e+9     5.3161e-1     1.1000e+1  
BoneCortical           3.1866e+9     5.4603e-1     1.0963e+1  
BoneCortical           3.2537e+9     5.6054e-1     1.0926e+1  
BoneCortical           3.3209e+9     5.7516e-1     1.0889e+1  
BoneCortical           3.3881e+9     5.8986e-1     1.0853e+1  
BoneCortical           3.4552e+9     6.0466e-1     1.0817e+1  
BoneCortical           3.5224e+9     6.1954e-1     1.0781e+1  
BoneCortical           3.5896e+9     6.3450e-1     1.0745e+1  
BoneCortical           3.6567e+9     6.4954e-1     1.0710e+1  
