SINGLE TISSUE, FREQUENCY RANGE
TISSUE: CerebroSpinalFluid

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
CerebroSpinalFluid     5.0000e+8     2.2777e+0     7.0091e+1  
CerebroSpinalFluid     5.6716e+8     2.2966e+0     6.9694e+1  
CerebroSpinalFluid     6.3433e+8     2.3169e+0     6.9393e+1  
CerebroSpinalFluid     7.0149e+8     2.3387e+0     6.9153e+1  
CerebroSpinalFluid     7.6866e+8     2.3621e+0     6.8954e+1  
CerebroSpinalFluid     8.3582e+8     2.3871e+0     6.8783e+1  
CerebroSpinalFluid     9.0299e+8     2.4138e+0     6.8632e+1  
CerebroSpinalFluid     9.7015e+8     2.4421e+0     6.8496e+1  
CerebroSpinalFluid     1.0373e+9     2.4720e+0     6.8370e+1  
CerebroSpinalFluid     1.1045e+9     2.5036e+0     6.8252e+1  
CerebroSpinalFluid     1.1716e+9     2.5368e+0     6.8139e+1  
CerebroSpinalFluid     1.2388e+9     2.5716e+0     6.8032e+1  
CerebroSpinalFluid     1.3060e+9     2.6081e+0     6.7927e+1  
CerebroSpinalFluid     1.3731e+9     2.6461e+0     6.7825e+1  
CerebroSpinalFluid     1.4403e+9     2.6857e+0     6.7724e+1  
CerebroSpinalFluid     1.5075e+9     2.7268e+0     6.7625e+1  
CerebroSpinalFluid     1.5746e+9     2.7694e+0     6.7527e+1  
CerebroSpinalFluid     1.6418e+9     2.8136e+0     6.7430e+1  
CerebroSpinalFluid     1.7090e+9     2.8593e+0     6.7332e+1  
CerebroSpinalFluid     1.7761e+9     2.9064e+0     6.7235e+1  
CerebroSpinalFluid     1.8433e+9     2.9551e+0     6.7138e+1  
CerebroSpinalFluid     1.9104e+9     3.0051e+0     6.7040e+1  
CerebroSpinalFluid     1.9776e+9     3.0566e+0     6.6943e+1  
CerebroSpinalFluid     2.0448e+9     3.1095e+0     6.6845e+1  
CerebroSpinalFluid     2.1119e+9     3.1639e+0     6.6747e+1  
CerebroSpinalFluid     2.1791e+9     3.2195e+0     6.6648e+1  
CerebroSpinalFluid     2.2463e+9     3.2766e+0     6.6548e+1  
CerebroSpinalFluid     2.3134e+9     3.3350e+0     6.6448e+1  
CerebroSpinalFluid     2.3806e+9     3.3947e+0     6.6348e+1  
CerebroSpinalFluid     2.4478e+9     3.4558e+0     6.6247e+1  
CerebroSpinalFluid     2.5149e+9     3.5181e+0     6.6145e+1  
CerebroSpinalFluid     2.5821e+9     3.5817e+0     6.6042e+1  
CerebroSpinalFluid     2.6493e+9     3.6466e+0     6.5939e+1  
CerebroSpinalFluid     2.7164e+9     3.7127e+0     6.5836e+1  
CerebroSpinalFluid     2.7836e+9     3.7801e+0     6.5731e+1  
CerebroSpinalFluid     2.8507e+9     3.8487e+0     6.5626e+1  
CerebroSpinalFluid     2.9179e+9     3.9185e+0     6.5521e+1  
CerebroSpinalFluid     2.9851e+9     3.9895e+0     6.5414e+1  
CerebroSpinalFluid     3.0522e+9     4.0616e+0     6.5307e+1  
CerebroSpinalFluid     3.1194e+9     4.1349e+0     6.5199e+1  
CerebroSpinalFluid     3.1866e+9     4.2093e+0     6.5091e+1  
