SINGLE TISSUE, FREQUENCY RANGE
TISSUE: Fat

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
Fat                    5.0000e+8     4.2793e-2     5.5444e+0  
Fat                    5.6716e+8     4.4000e-2     5.5260e+0  
Fat                    6.3433e+8     4.5278e-2     5.5102e+0  
Fat                    7.0149e+8     4.6629e-2     5.4963e+0  
Fat                    7.6866e+8     4.8052e-2     5.4837e+0  
Fat                    8.3582e+8     4.9547e-2     5.4722e+0  
Fat                    9.0299e+8     5.1114e-2     5.4615e+0  
Fat                    9.7015e+8     5.2752e-2     5.4514e+0  
Fat                    1.0373e+9     5.4459e-2     5.4417e+0  
Fat                    1.1045e+9     5.6235e-2     5.4325e+0  
Fat                    1.1716e+9     5.8079e-2     5.4236e+0  
Fat                    1.2388e+9     5.9990e-2     5.4150e+0  
Fat                    1.3060e+9     6.1965e-2     5.4066e+0  
Fat                    1.3731e+9     6.4005e-2     5.3984e+0  
Fat                    1.4403e+9     6.6107e-2     5.3904e+0  
Fat                    1.5075e+9     6.8272e-2     5.3825e+0  
Fat                    1.5746e+9     7.0496e-2     5.3747e+0  
Fat                    1.6418e+9     7.2780e-2     5.3671e+0  
Fat                    1.7090e+9     7.5122e-2     5.3595e+0  
Fat                    1.7761e+9     7.7522e-2     5.3520e+0  
Fat                    1.8433e+9     7.9977e-2     5.3446e+0  
Fat                    1.9104e+9     8.2487e-2     5.3373e+0  
Fat                    1.9776e+9     8.5051e-2     5.3300e+0  
Fat                    2.0448e+9     8.7668e-2     5.3228e+0  
Fat                    2.1119e+9     9.0337e-2     5.3156e+0  
Fat                    2.1791e+9     9.3056e-2     5.3085e+0  
Fat                    2.2463e+9     9.5825e-2     5.3014e+0  
Fat                    2.3134e+9     9.8643e-2     5.2943e+0  
Fat                    2.3806e+9     1.0151e-1     5.2873e+0  
Fat                    2.4478e+9     1.0442e-1     5.2803e+0  
Fat                    2.5149e+9     1.0738e-1     5.2734e+0  
Fat                    2.5821e+9     1.1039e-1     5.2665e+0  
Fat                    2.6493e+9     1.1343e-1     5.2596e+0  
Fat                    2.7164e+9     1.1653e-1     5.2527e+0  
Fat                    2.7836e+9     1.1966e-1     5.2458e+0  
Fat                    2.8507e+9     1.2284e-1     5.2390e+0  
Fat                    2.9179e+9     1.2605e-1     5.2322e+0  
Fat                    2.9851e+9     1.2931e-1     5.2254e+0  
Fat                    3.0522e+9     1.3261e-1     5.2186e+0  
Fat                    3.1194e+9     1.3594e-1     5.2119e+0  
Fat                    3.1866e+9     1.3931e-1     5.2051e+0  
Fat                    3.2537e+9     1.4272e-1     5.1984e+0  
Fat                    3.3209e+9     1.4617e-1     5.1917e+0  
Fat                    3.3881e+9     1.4965e-1     5.1850e+0  
Fat                    3.4552e+9     1.5317e-1     5.1784e+0  
Fat                    3.5224e+9     1.5672e-1     5.1717e+0  
Fat                    3.5896e+9     1.6030e-1     5.1651e+0  
Fat                    3.6567e+9     1.6392e-1     5.1585e+0  
Fat                    3.7239e+9     1.6757e-1     5.1519e+0  
Fat                    3.7910e+9     1.7125e-1     5.1453e+0  
Fat                    3.8582e+9     1.7496e-1     5.1387e+0  
