SINGLE TISSUE, FREQUENCY RANGE
TISSUE: Muscle

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
Muscle                 5.0000e+8     8.2245e-1     5.6445e+1  
Muscle                 5.6716e+8     8.4066e-1     5.6104e+1  
Muscle                 6.3433e+8     8.5959e-1     5.5822e+1  
Muscle                 7.0149e+8     8.7933e-1     5.5582e+1  
Muscle                 7.6866e+8     8.9994e-1     5.5374e+1  
Muscle                 8.3582e+8     9.2147e-1     5.5190e+1  
Muscle                 9.0299e+8     9.4396e-1     5.5025e+1  
Muscle                 9.7015e+8     9.6744e-1     5.4874e+1  
Muscle                 1.0373e+9     9.9190e-1     5.4735e+1  
Muscle                 1.1045e+9     1.0174e+0     5.4606e+1  
Muscle                 1.1716e+9     1.0439e+0     5.4484e+1  
Muscle                 1.2388e+9     1.0714e+0     5.4368e+1  
Muscle                 1.3060e+9     1.0999e+0     5.4258e+1  
Muscle                 1.3731e+9     1.1295e+0     5.4153e+1  
Muscle                 1.4403e+9     1.1600e+0     5.4051e+1  
Muscle                 1.5075e+9     1.1916e+0     5.3952e+1  
Muscle                 1.5746e+9     1.2242e+0     5.3856e+1  
Muscle                 1.6418e+9     1.2578e+0     5.3763e+1  
Muscle                 1.7090e+9     1.2925e+0     5.3671e+1  
Muscle                 1.7761e+9     1.3281e+0     5.3581e+1  
Muscle                 1.8433e+9     1.3646e+0     5.3492e+1  
Muscle                 1.9104e+9     1.4022e+0     5.3405e+1  
Muscle                 1.9776e+9     1.4408e+0     5.3319e+1  
Muscle                 2.0448e+9     1.4803e+0     5.3233e+1  
Muscle                 2.1119e+9     1.5208e+0     5.3148e+1  
Muscle                 2.1791e+9     1.5622e+0     5.3064e+1  
Muscle                 2.2463e+9     1.6046e+0     5.2981e+1  
Muscle                 2.3134e+9     1.6479e+0     5.2898e+1  
Muscle                 2.3806e+9     1.6921e+0     5.2815e+1  
Muscle                 2.4478e+9     1.7372e+0     5.2732e+1  
Muscle                 2.5149e+9     1.7833e+0     5.2650e+1  
Muscle                 2.5821e+9     1.8303e+0     5.2568e+1  
Muscle                 2.6493e+9     1.8781e+0     5.2486e+1  
Muscle                 2.7164e+9     1.9268e+0     5.2404e+1  
Muscle                 2.7836e+9     1.9764e+0     5.2322e+1  
Muscle                 2.8507e+9     2.0269e+0     5.2240e+1  
Muscle                 2.9179e+9     2.0782e+0     5.2158e+1  
Muscle                 2.9851e+9     2.1304e+0     5.2076e+1  
Muscle                 3.0522e+9     2.1834e+0     5.1994e+1  
Muscle                 3.1194e+9     2.2372e+0     5.1912e+1  
Muscle                 3.1866e+9     2.2919e+0     5.1830e+1  
Muscle                 3.2537e+9     2.3474e+0     5.1747e+1  
Muscle                 3.3209e+9     2.4036e+0     5.1665e+1  
Muscle                 3.3881e+9     2.4607e+0     5.1582e+1  
Muscle                 3.4552e+9     2.5185e+0     5.1500e+1  
Muscle                 3.5224e+9     2.5771e+0     5.1417e+1  
Muscle                 3.5896e+9     2.6365e+0     5.1333e+1  
Muscle                 3.6567e+9     2.6967e+0     5.1250e+1  
Muscle                 3.7239e+9     2.7576e+0     5.1166e+1  
