SINGLE TISSUE, FREQUENCY RANGE
TISSUE: SkinDry

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
SkinDry                5.0000e+8     7.2840e-1     4.4915e+1  
SkinDry                5.6716e+8     7.5339e-1     4.4009e+1  
SkinDry                6.3433e+8     7.7730e-1     4.3282e+1  
SkinDry                7.0149e+8     8.0047e-1     4.2686e+1  
SkinDry                7.6866e+8     8.2314e-1     4.2185e+1  
SkinDry                8.3582e+8     8.4551e-1     4.1759e+1  
SkinDry                9.0299e+8     8.6773e-1     4.1390e+1  
SkinDry                9.7015e+8     8.8990e-1     4.1067e+1  
SkinDry                1.0373e+9     9.1213e-1     4.0782e+1  
SkinDry                1.1045e+9     9.3450e-1     4.0527e+1  
SkinDry                1.1716e+9     9.5706e-1     4.0298e+1  
SkinDry                1.2388e+9     9.7986e-1     4.0090e+1  
SkinDry                1.3060e+9     1.0030e+0     3.9901e+1  
SkinDry                1.3731e+9     1.0264e+0     3.9727e+1  
SkinDry                1.4403e+9     1.0502e+0     3.9566e+1  
SkinDry                1.5075e+9     1.0743e+0     3.9417e+1  
SkinDry                1.5746e+9     1.0989e+0     3.9279e+1  
SkinDry                1.6418e+9     1.1240e+0     3.9149e+1  
SkinDry                1.7090e+9     1.1494e+0     3.9026e+1  
SkinDry                1.7761e+9     1.1754e+0     3.8911e+1  
SkinDry                1.8433e+9     1.2018e+0     3.8802e+1  
SkinDry                1.9104e+9     1.2287e+0     3.8699e+1  
SkinDry                1.9776e+9     1.2562e+0     3.8600e+1  
SkinDry                2.0448e+9     1.2841e+0     3.8505e+1  
SkinDry                2.1119e+9     1.3126e+0     3.8415e+1  
SkinDry                2.1791e+9     1.3416e+0     3.8328e+1  
SkinDry                2.2463e+9     1.3711e+0     3.8244e+1  
SkinDry                2.3134e+9     1.4012e+0     3.8163e+1  
SkinDry                2.3806e+9     1.4318e+0     3.8085e+1  
SkinDry                2.4478e+9     1.4630e+0     3.8009e+1  
SkinDry                2.5149e+9     1.4947e+0     3.7935e+1  
SkinDry                2.5821e+9     1.5270e+0     3.7863e+1  
SkinDry                2.6493e+9     1.5598e+0     3.7793e+1  
SkinDry                2.7164e+9     1.5932e+0     3.7725e+1  
SkinDry                2.7836e+9     1.6272e+0     3.7658e+1  
SkinDry                2.8507e+9     1.6618e+0     3.7592e+1  
SkinDry                2.9179e+9     1.6969e+0     3.7528e+1  
SkinDry                2.9851e+9     1.7326e+0     3.7464e+1  
SkinDry                3.0522e+9     1.7688e+0     3.7402e+1  
SkinDry                3.1194e+9     1.8056e+0     3.7340e+1  
SkinDry                3.1866e+9     1.8430e+0     3.7280e+1  
SkinDry                3.2537e+9     1.8809e+0     3.7220e+1  
SkinDry                3.3209e+9     1.9195e+0     3.7161e+1  
SkinDry                3.3881e+9     1.9585e+0     3.7102e+1  
SkinDry                3.4552e+9     1.9982e+0     3.7044e+1  
SkinDry                3.5224e+9     2.0384e+0     3.6986e+1  
SkinDry                3.5896e+9     2.0792e+0     3.6929e+1  
SkinDry                3.6567e+9     2.1205e+0     3.6872e+1  
SkinDry                3.7239e+9     2.1624e+0     3.6816e+1  
