SINGLE TISSUE, FREQUENCY RANGE
TISSUE: SpinalCord

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
SpinalCord             5.0000e+8     4.7279e-1     3.4449e+1  
SpinalCord             5.6716e+8     4.8975e-1     3.3972e+1  
SpinalCord             6.3433e+8     5.0653e-1     3.3583e+1  
SpinalCord             7.0149e+8     5.2329e-1     3.3257e+1  
SpinalCord             7.6866e+8     5.4015e-1     3.2978e+1  
SpinalCord             8.3582e+8     5.5718e-1     3.2735e+1  
SpinalCord             9.0299e+8     5.7447e-1     3.2522e+1  
SpinalCord             9.7015e+8     5.9205e-1     3.2331e+1  
SpinalCord             1.0373e+9     6.0996e-1     3.2159e+1  
SpinalCord             1.1045e+9     6.2824e-1     3.2002e+1  
SpinalCord             1.1716e+9     6.4691e-1     3.1857e+1  
SpinalCord             1.2388e+9     6.6600e-1     3.1724e+1  
SpinalCord             1.3060e+9     6.8550e-1     3.1600e+1  
SpinalCord             1.3731e+9     7.0545e-1     3.1483e+1  
SpinalCord             1.4403e+9     7.2584e-1     3.1373e+1  
SpinalCord             1.5075e+9     7.4669e-1     3.1269e+1  
SpinalCord             1.5746e+9     7.6799e-1     3.1170e+1  
SpinalCord             1.6418e+9     7.8976e-1     3.1076e+1  
SpinalCord             1.7090e+9     8.1201e-1     3.0985e+1  
SpinalCord             1.7761e+9     8.3472e-1     3.0898e+1  
SpinalCord             1.8433e+9     8.5790e-1     3.0813e+1  
SpinalCord             1.9104e+9     8.8155e-1     3.0732e+1  
SpinalCord             1.9776e+9     9.0568e-1     3.0653e+1  
SpinalCord             2.0448e+9     9.3028e-1     3.0575e+1  
SpinalCord             2.1119e+9     9.5534e-1     3.0500e+1  
SpinalCord             2.1791e+9     9.8088e-1     3.0427e+1  
SpinalCord             2.2463e+9     1.0069e+0     3.0355e+1  
SpinalCord             2.3134e+9     1.0333e+0     3.0285e+1  
SpinalCord             2.3806e+9     1.0603e+0     3.0216e+1  
SpinalCord             2.4478e+9     1.0876e+0     3.0148e+1  
SpinalCord             2.5149e+9     1.1155e+0     3.0081e+1  
SpinalCord             2.5821e+9     1.1438e+0     3.0015e+1  
SpinalCord             2.6493e+9     1.1725e+0     2.9950e+1  
SpinalCord             2.7164e+9     1.2017e+0     2.9885e+1  
SpinalCord             2.7836e+9     1.2313e+0     2.9821e+1  
SpinalCord             2.8507e+9     1.2613e+0     2.9758e+1  
SpinalCord             2.9179e+9     1.2918e+0     2.9696e+1  
SpinalCord             2.9851e+9     1.3227e+0     2.9634e+1  
SpinalCord             3.0522e+9     1.3541e+0     2.9573e+1  
SpinalCord             3.1194e+9     1.3858e+0     2.9512e+1  
SpinalCord             3.1866e+9     1.4180e+0     2.9451e+1  
SpinalCord             3.2537e+9     1.4506e+0     2.9391e+1  
SpinalCord             3.3209e+9     1.4836e+0     2.9331e+1  
SpinalCord             3.3881e+9     1.5169e+0     2.9271e+1  
SpinalCord             3.4552e+9     1.5507e+0     2.9212e+1  
SpinalCord             3.5224e+9     1.5849e+0     2.9153e+1  
SpinalCord             3.5896e+9     1.6195e+0     2.9094e+1  
SpinalCord             3.6567e+9     1.6544e+0     2.9036e+1  
